I/P State       Input    Next State
         0 ,        a =>       1
         0 ,        b =>       2
         0 ,        c =>       3
         0 ,        d =>       4
         0 ,        f =>       5
         0 ,        g =>       6
         0 ,        h =>       7
         0 ,        i =>       8
         0 ,        j =>       9
         0 ,        B =>       10
         0 ,        J =>       11
         0 ,        K =>       12
         0 ,        M =>       13
         0 ,        N =>       14
         0 ,        O =>       15
         0 ,        P =>       16
         0 ,        Q =>       17
         0 ,        R =>       18
         0 ,        x =>       19
         0 ,        ( =>       20
         0 ,        , =>       21
         0 ,        ; =>       22
         0 ,        a =>       1
         0 ,        b =>       2
         0 ,        c =>       3
         0 ,        d =>       4
         0 ,        f =>       5
         0 ,        g =>       6
         0 ,        h =>       7
         0 ,        i =>       8
         0 ,        j =>       9
         0 ,        B =>       10
         0 ,        J =>       11
         0 ,        K =>       12
         0 ,        M =>       13
         0 ,        N =>       14
         0 ,        O =>       15
         0 ,        P =>       16
         0 ,        Q =>       17
         0 ,        R =>       18
         0 ,        x =>       19
         0 ,        ( =>       20
         0 ,        , =>       21
         0 ,        ; =>       22
         1 ,        ( =>       23
         2 ,        = =>       24
         5 ,        b =>       25
         6 ,        b =>       26
         7 ,        b =>       27
         8 ,        b =>       28
         9 ,        b =>       29
         9 ,        c =>       3
         9 ,        d =>       4
         9 ,        Q =>       17
         9 ,        R =>       30
         9 ,        ( =>       31
         16 ,        ? =>       32
         18 ,        > =>       33
         18 ,        < =>       34
         18 ,        + =>       35
         18 ,        - =>       36
         18 ,        * =>       37
         18 ,        ~ =>       38
         20 ,        b =>       29
         20 ,        c =>       3
         20 ,        d =>       4
         20 ,        P =>       39
         20 ,        Q =>       17
         20 ,        R =>       40
         20 ,        ( =>       31
         21 ,        h =>       41
         21 ,        i =>       42
         0 ,        a =>       1
         0 ,        b =>       2
         0 ,        c =>       3
         0 ,        d =>       4
         0 ,        f =>       5
         0 ,        g =>       6
         0 ,        h =>       7
         0 ,        i =>       8
         0 ,        j =>       9
         0 ,        B =>       10
         0 ,        J =>       11
         0 ,        K =>       12
         0 ,        M =>       13
         0 ,        N =>       14
         0 ,        O =>       15
         0 ,        P =>       16
         0 ,        Q =>       17
         0 ,        R =>       18
         0 ,        x =>       19
         0 ,        ( =>       20
         0 ,        , =>       21
         0 ,        ; =>       22
         1 ,        ( =>       23
         2 ,        = =>       24
         5 ,        b =>       25
         6 ,        b =>       26
         7 ,        b =>       27
         8 ,        b =>       28
         9 ,        b =>       29
         9 ,        c =>       3
         9 ,        d =>       4
         9 ,        Q =>       17
         9 ,        R =>       30
         9 ,        ( =>       31
         16 ,        ? =>       32
         18 ,        > =>       33
         18 ,        < =>       34
         18 ,        + =>       35
         18 ,        - =>       36
         18 ,        * =>       37
         18 ,        ~ =>       38
         20 ,        b =>       29
         20 ,        c =>       3
         20 ,        d =>       4
         20 ,        P =>       39
         20 ,        Q =>       17
         20 ,        R =>       40
         20 ,        ( =>       31
         21 ,        h =>       41
         21 ,        i =>       42
         23 ,        h =>       43
         23 ,        i =>       44
         23 ,        C =>       45
         23 ,        x =>       46
         23 ,        , =>       21
         24 ,        b =>       29
         24 ,        c =>       3
         24 ,        d =>       4
         24 ,        J =>       47
         24 ,        N =>       14
         24 ,        P =>       16
         24 ,        Q =>       17
         24 ,        R =>       18
         24 ,        ( =>       20
         25 ,        ; =>       48
         26 ,        ; =>       49
         27 ,        h =>       43
