
States V || Symbols->         a|              b|              c|              d|              e|              f|              g|              h|              i|              j|              z|              x|              =|              (|              )|              {|              }|              ~|              ?|              $|              :|              ;|              >|              <|              +|              -|              *|              ~|              ,|              
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------              
              0|           s 18|            s 2|            s 3|            s 4|               |            s 5|            s 6|            s 7|            s 8|            s 9|               |           s 19|               |           s 20|               |               |               |               |               |               |               |           s 22|               |               |               |               |               |               |           s 21|
              1|               |               |               |               |               |               |               |               |               |               |               |               |               |           s 23|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
              2|               |               |               |               |               |               |               |               |               |               |               |               |           s 24|               |         r R->b|               |         r R->b|         r R->b|         r R->b|               |         r R->b|         r R->b|         r R->b|         r R->b|         r R->b|         r R->b|         r R->b|               |               |
              3|               |               |               |               |               |               |               |               |               |               |               |               |               |               |         r R->c|               |         r R->c|         r R->c|         r R->c|               |         r R->c|         r R->c|         r R->c|         r R->c|         r R->c|         r R->c|         r R->c|               |               |
              4|               |               |               |               |               |               |               |               |               |               |               |               |               |               |         r R->d|               |         r R->d|         r R->d|         r R->d|               |         r R->d|         r R->d|         r R->d|         r R->d|         r R->d|         r R->d|         r R->d|               |               |
              5|               |           s 25|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
              6|               |           s 26|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
              7|               |           s 27|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
              8|               |           s 28|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
              9|           s 30|           s 29|            s 3|            s 4|               |               |               |               |               |               |               |               |               |           s 31|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |
             10|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |         accept|               |               |               |               |               |               |               |               |               |
             11|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |         r L->J|               |               |               |               |               |               |               |               |               |               |               |               |
             12|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |         r L->K|               |               |               |               |               |               |               |               |               |               |               |               |
             13|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |         r L->M|               |               |               |               |               |               |               |               |               |               |               |               |
             14|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |         r J->N|               |               |               |         r J->N|         r J->N|               |               |               |               |               |               |               |
             15|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |         r L->O|               |               |               |               |               |               |               |               |               |               |               |               |
             16|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |         r J->P|               |           s 32|               |         r J->P|         r J->P|               |               |               |               |               |               |               |
             17|               |               |               |               |               |               |               |               |               |               |               |               |               |               |         r R->Q|               |         r R->Q|         r R->Q|         r R->Q|               |         r R->Q|         r R->Q|         r R->Q|         r R->Q|         r R->Q|         r R->Q|         r R->Q|               |               |
             18|               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |               |         r J->R|           s 38|               |               |         r J->R|         r J->R|           s 33|           s 34|           s 35|           s 36|           s 37|               |               |
             19|               |         r D->x|         r D->x|         r D->x|               |         r D->x|         r D->x|               |               |         r D->x|               |               |               |         r D->x|         r C->x|               |         r L->x|               |               |               |               |         r D->x|               |               |               |               |               |               |               |
